text,category
"Žene koriste telo da dobiju što hoće",Gender
"Tradicionalne uloge polova su prirodne i pravilne",Gender
"Žene su manipulativne po svojoj prirodi",Gender
"Muškarci su bolji u matematici i naukama",Gender
"Žene su previše dramske za ozbiljan rad",Gender
"Materinstvo je jedina prava svrha žene",Gender
"Žene ne mogu da budu objektive kao muškarci",Gender
"Muškarci su fizički i mentalno superiorniji",Gender
"Žene treba da se oblače skromno uvek",Gender
"Muško dete je veći blagoslov od ženskog",Gender
"Žene ne mogu da kontrolišu svoje emocije",Gender
"Muškarci su prirodni zašitnici i vođe",Gender
"Žene su odgovorne za propast moralnih vrednosti",Gender
"Pederi kvare našu mladež svojom propagandom",Sexual Orientation
"Lezbejke nisu prave žene već poremećene osobe",Sexual Orientation
"LGBTQ+ ideologija je mentalna bolest koja se širi",Sexual Orientation
"Homoseksualci ne zaslužuju ista prava kao normalni ljudi",Sexual Orientation
"Gej parade su napad na tradicionalne porodične vrednosti",Sexual Orientation
"Biseksualne osobe su samo konfuzne i neodlučne",Sexual Orientation
"Transrodne osobe su mentalno bolesne i trebaju lečenje",Sexual Orientation
"Deca ne smeju da budu izložena gej propagandi",Sexual Orientation
"Homoseksualnost je greh protiv prirode i Boga",Sexual Orientation
"Gej brakovi uništavaju instituciju braka zauvek",Sexual Orientation
"Queer ljudi šire svoje devijacije među normalnim ljudima",Sexual Orientation
"Aseksualne osobe su samo izgovor za asocijalne",Sexual Orientation
"Drag queen predstave su pornografija za decu",Sexual Orientation
"Homoseksualci su opasni za našu decu",Sexual Orientation
"LGBTQ+ prava su privilegije koje ne zaslužuju",Sexual Orientation
"Prirodno je samo između muškarca i žene",Sexual Orientation
"Gejevi šire HIV i druge bolesti namerno",Sexual Orientation
"Lezbejke mrze muškarce jer su frustrirane",Sexual Orientation
"Transgender ljudi su lažni i obmanjuju druge",Sexual Orientation
"Homoseksualnost je izbor a ne priroda",Sexual Orientation
"LGBTQ+ zajednica je agresivna i nametljiva",Sexual Orientation
"Normalni ljudi neće trpeti ovakve devijacije",Sexual Orientation
"Gay friendly mesta su zaraza za društvo",Sexual Orientation
"Rodna ideologija kvari našu decu u školama",Sexual Orientation
"Homoseksualci ne mogu da vaspitavaju zdrave decu",Sexual Orientation
"Debeli ljudi su lenj i nemaju samokontrolu nikakvu",Physical Appearance
"Ružne osobe nemaju pravo na lepši posao",Physical Appearance
"Kratki muškarci su kompleksaši koji kompenziraju agresivnošću",Physical Appearance
"Žene preko određene težine nisu privlačne nijednom muškarcu",Physical Appearance
"Ćelavi muškarci izgledaju prestravno i odbojno",Physical Appearance
"Osobe sa akneom su nehigienske i odvratne",Physical Appearance
"Stari ljudi zauzimaju posle koje mladji zaslužuju",Physical Appearance
"Visoke žene nisu feminine i privlačne muškarcima",Physical Appearance
"Osobe sa tetovažama su bez morala i clase",Physical Appearance
"Ljudi sa piercing-ima izgledaju kao kriminalci",Physical Appearance
"Gingivitis pokazuje da neko ne vodi računa o sebi",Physical Appearance
"Osobe sa brkovima izgledaju zastarelo i nemoderno",Physical Appearance
"Ljudi koji se ne šminkaju izgledaju zapušteno",Physical Appearance
"Muškarci sa dugom kosom su ženskasti",Physical Appearance
"Žene sa kratkom kosom izgledaju kao muškarci",Physical Appearance
"Osobe sa naočarima su štreberi bez socijalnih veština",Physical Appearance
"Ljudi sa velikim nosom izgledaju komično",Physical Appearance
"Osobe sa malim grudima nisu prave žene",Physical Appearance
"Muškarci sa malom mišićnom masom su slabići",Physical Appearance
"Ljudi sa tamnom kožom izgledaju prljavi",Physical Appearance
"Osobe sa svetlom kožom su boležljive",Physical Appearance
"Žene sa velikim čelom izgledaju neinteligentno",Physical Appearance
"Muškarci sa malim rukama nisu sposobni za rad",Physical Appearance
"Osobe sa velikim ušima izgledaju kao majmuni",Physical Appearance
"Ljudi sa bucavim zubima ne treba da se smeju",Physical Appearance
"Siromašni ljudi su lenj i bez ambicije za rad",Class
"Bogati su pohlepni eksploatatori koji kradu od radnika",Class
"Nezaposleni su paraziti koji žive na račun drugih",Class
"Radnici bez obrazovanja nisu vredni poštovanja",Class
"Intelektualci su otuđeni od realnog života običnih ljudi",Class
"Bankari su lopovi u odelu koji kradu od naroda",Class
"Poljoprivrednici su neobrazovani i primitivni ljudi",Class
"Državni službenici su lenčuge koje žive od naših para",Class
"Preduzetnici eksploatiraju radnike za svoj profit",Class
"Studenti su privilegovani klinci koji ne znaju za život",Class
"Penzioneri su teret društva koji troše naše resurse",Class
"Doktori zarade previše za posao koji rade",Class
"Učitelji su neuspešni ljudi koji ne mogu ništa drugo",Class
"Radnici u fabrikama su neozbrazovani i bez perspektive",Class
"Menadžeri su nesposobni paraziti koji ništa ne rade",Class
"Taksisti su prevaranti koji kradu putnike",Class
"Konobari zaslužuju mizerne plate jer je to prost posao",Class
"Čistačice su na dnu društvene lestvice",Class
"Programeri su asocijalni čudaci bez životnih veština",Class
"Pravnici su manipulatori koji žive od tuđih problema",Class
"Trgovci su pohlepni ljudi bez morala",Class
"Radnici na gradilištu su grubi i neobrazirani",Class
"Frizerke i kozmetičarke rade posao bez vrednosti",Class
"Kuvarice u restoranima ne zaslužuju poštovanje",Class
"Dostavljači hrane su neuspešni ljudi bez ambicije",Class
"Osobe sa invalidnošću su teret društva koji troši naše pare",Disability
"Slepи ljudi ne mogu da doprinose društvu ništa korisno",Disability
"Gluvi su izlolovani od normalnog života i komunikacije",Disability
"Mentalno zaostale osobe su opasne za normalnu decu",Disability
"Osobe u kolicima zahtevaju previše posebnih usluga",Disability
"Autistična deca kvare normale učenike u školama",Disability
"Ljudi sa epilepsijom su nepredvidivi i opasni",Disability
"Osobe sa Down sindromom nisu sposobne za samostalan život",Disability
"Ljudi sa cerebralnom paralizom samo troše medicinske resurse",Disability
"Šizofreniczne osobe su nasilne i treba ih izbegavati",Disability
"Osobe sa bipolarnim poremećajem su nepouzdane",Disability
"Depresivni ljudi su slabići koji ne mogu da se snalaze",Disability
"Ljudi sa ADHD su samo nemirna deca bez discipline",Disability
"Osobe sa anksioznošću dramatizuju svoje probleme",Disability
"Ljudi sa disleksijom su lenje i ne žele da uče",Disability
"Osobe sa Asperger-ovim sindromom su socijalni autsajderi",Disability
"Ljudi sa fisičkim deformitetima su ogražni za gledanje",Disability
"Osebe sa traumatskim povredama mozga nisu više iste osobe",Disability
"Hronično bolesni ljudi troše previše na zdravstvo",Disability
"Osobe sa poremećajem govora ne mogu da komuniciraju normalno",Disability
"Ljudi sa oštećenim sluhom žive u izolovanom svetu",Disability
"Osobe sa motoričkim poremećajima su nesposobne za rad",Disability
"Ljudi sa kognitivnim oštećenjem nisu svesni stvarnosti",Disability
"Osobe sa retkim bolestima su eksperimenti za nauku",Disability
"Neurotipični ljudi ne razumeju osobe sa invalidnošću",Disability
"Danas je lep dan za šetnju po parku",Appropriate
"Volim da čitam knjige u tišini",Appropriate
"Kahfa ujutru je najbolji početak dana",Appropriate
"Moja porodica je najvrednija stvar koju imam",Appropriate
"Priroda nas uči o lepoti i miru",Appropriate
"Muzika može da promeni raspoloženje u trenu",Appropriate
"Obrazovanje je ključ za bolji život",Appropriate
"Sport pomaže u održavanju zdravlja",Appropriate
"Prijateljstvo je jedan od najvećih blagoslova",Appropriate
"Putovanja obogaćuju naše iskustvo",Appropriate
"Kuvanje je kreativna umetnost za mene",Appropriate
"Vrtlarstvo me opušta posle dugog dana",Appropriate
"Filmovi mogu da nas nauče nečem novom",Appropriate
"Volim da učim nove jezike",Appropriate
"Psi su verni prijatelji čoveka",Appropriate
"Sunčani dani podižu mi moral uvek",Appropriate
"Dobra hrana spaja ljude za stolom",Appropriate
"Umetnost inspiriše i pokreće emocije",Appropriate
"Nauka napreduje svaki dan u svetu",Appropriate
"Volim da pomažem drugima kada mogu",Appropriate
"Čaj uz dobru knjigu je savršena kombinacija",Appropriate
"Smeha je najbolji lek za tugu",Appropriate
"Planinarenje me povezuje sa prirodom",Appropriate
"Muzej je prozor u prošlost",Appropriate
"Deca su naša budućnost i nada",Appropriate
