text,category
Više nas bruka nego sto nas reprezentuje. Bukvalno u rangu belih magova i vidovitih ciganki ispod šatora.,Race
"Herr Flip je trebao da izgura do tada, ali covek mnogo nema pojma… sa turčinom kapitenom i umišljenim bajernovim zvezdama, nema leba… kako god, Klop ostaje mašta, a Glasner najidealnije rešenje.",Appropriate
A zašto nema objave za cenu TNG? Nije mala razlika kad sipaš za 84 din ili 90 din.,Appropriate
"Atina precenjena. Osim akropolisa i nesto starih ruševina nema ništa. Prljav grad, divlja gradnja a mentalitet kao neko cigansko selo.",Race
"Prestao sam da čitam kada sam video kako je pricala o rasističkim ispadima u Moskvi… ko je bio u Moskvi znaće da je puna stranaca koji rade tamo, velika većina azijata. Takođe i afrikanaca jer je Rusija duže prisutna u Africi… Rusi imaju minuse ali rasizam nije prisutan… da ne napominjem da je to federacija a ne republika…",Appropriate
nisu svi hrvati ustaše ali su sve ustaše hrvati,Race
"Ah ta prepoštena Švajcarska. Obogatila se nacističkim zlatom (koje znamo kako i na koji način se steklo, od strane prepoštenih Nemaca, koji isto sebi daju za pravo da danas nekom drže časove morala i etike).",Race
Vi i vaše laži u kojima ceo život živite i posle se čudite kad vam se dešavaju neke stvari...,Appropriate
Junaka filma četnika Mašana Đurovica su 1943 godine Dražini vojnici streljali zbog zločina koje je počinio i zbog saradnje sa Nemcima i četnicima Koste Pećanca.,Appropriate
"Da, ali ako se pije na prazan želudac sa cigarom, onda se negativni efekti poništavaju.",Appropriate
dok je naser orić sa mudžahedinima ovako divljao po srpskim selima bilo je super nije BBC išao po selima i pokazivao svetu kako oni kažu posledice delovanja životinja,Religion
"Znaš šta se još nije desilo? Kosovski boj, oba srpska ustanka i oba svetska rata. Ako ti je deda ili pradeda rekao da je bio četnik ili komunista, lagao je!",Appropriate
Itekako vređaju ali bez kazni skandiraju pominjući Šiptare Hrvate Nož Srebrenicu žicu. ako bi se lagali pričali neistinu onda bi rekli da su srpski huligani med mleko bombone i čokolada.,Race
Bonove za hranu će menjati za cigare i alkohol.Već viđeno.,Appropriate
"A ti to sipaš jer ziviš na Šarplanini ili ti majstor Mita rekao da je to ok, pošto vidim navodiš da ti sipaš.",Race
"Mi se ovde sprdamo sa njima, oni ih uče ustaškim pozdravima...stvarno su bre pacijenti",Race
Garaža bolja nego ulica Vojvode Vlahovića,Appropriate
Velika stvar. Pohvaliće ih i dobiće za nagradu besplatnu kartu do vašljivog blajburga za ustašku žurku...,Race
Konjušari!,Appropriate
ne nego će da ga osude na robiju. daj bre više ne smarajte sa ustašama. sa njima više ništa dok postoji srbija.,Race
"Vigo Mortensen je u Green Book-u pokidao! Neuporedivo je bolji od Maheršala Alija, koji je isto solidan, ali eto.... politika. Sada mora svuda crno-beli balans",Race
A u svemu tome je srbin još ispao najnormalniji jer se orijentiše ka rusiji (slovenski narod sa kojim su sve grupe balkana donekle u srodstvu). Šta reći o hrvatima? Žele da budu mali nemci. To je kao da više voliš komšiju nego oca svog. Bosanci? Dižete u nebesa potmoke ljdui koji su vaše tj. naše nabijali na kolac.,Race
"Volim ja nemačka auta, ali su postali mnogo drski i opušteni, misle da im niko ništa ne može.",Appropriate
"A da, za zaobilaženje su onakvi koji vam kazu istinu u lice kao ja, a krmak koji je vostio od batina svaku bivšu ali vam kaže kako se promenio i kako vas voli do neba je neodoljiv zavodnik koga treba ""ukrotiti"" mu dati šansu.",Appropriate
"Brate Baguetta dušu dao za tu foru muzika+plaža. Realno provešće se svi haos, jer lik i dalje sipa hitove",Appropriate
"nisam siguran da nisi Hrvat, rekao sam ti već zbog cega. Misliš da oni navijaju za nas,...",Race
Novi Outlander je vec trebao da debituje sada u Martu ali zahvaljujuci Nisan Reno alijansi i njihovim racunovodjama on je odlozen jer treba da iskoristi sto vise moguce Nisan delova i prekidaca sa lagera,Appropriate
"I sve te zemlje koje su terorisale sopstveni narod podržavali su uvek isti - Rusija (SSSR), Kina, S. Koreja i srpski rusofili. Neverovatno koliko zlo u tim ljudima, podrzavaju teror nad drugima, a cmizdre ako im ručak nije spreman na vreme. Licemeri",Appropriate
naravno sada će 'pastir rokeri' iz bosne da stave ciglu na 'ne preporučujem' :),Appropriate
"To samo razmatraju, ali potrudiće se Švabe da Briti 29. marta izlete na glavacke...",Appropriate
"danas sam 10 minuta gledao kako improvizovan kamion dizalica diže improvizovanu paletu cigala ((Beograd, strogi centar ćošak Cara Uroša i Zmaja od Noćaja) Paleta na 3.spratu a Majstor na dizalici bez šlema ispod. Inspekcijo policijo, radite svoj posao ginu ljudi",Appropriate
Kažu komentatori neće da upotrebe nuklearno oružje itd.Ako do većeg sukoba dođe pa krenu izbeglice kao u svakom ratu šta mislite ko će da primi recimo 300 MILIONA Indijaca i kako da ih zaustavi?,Appropriate
Ljudi ocigledno znaju da kucaju iako nemaju srbijansko srednje usmereno obrAzovanje da bi stekli zvanje kuvara.,Race
Ljudi ocigledno znaju da kucaju iako nemaju srbijansko srednje usmereno obrAzovanje da bi stekli zvanje kuvara.,Class
Povratak države u ponom kapacitetu na kompletnoj teritoriji Srbije. Šiptarima koji bi imali nesto protiv ovoga dati slobodu da se preko Prokletija odvuku gde im je volja.,Appropriate
"Svaki cigo svoga konja hvali, pa tako i Valverde Mesija.",Appropriate
nagradu je dobila jer švabo voli sve što je loše o srbiji.,Race
Vozio sam se Malaysia Airlines-om od Balija do Kuala Lumpura. Mislim da je JAT 80ih imao bolju flotu od onog aviona. Od tada se ni ne čudim šta se desilo sa tim avionom.,Appropriate
"Pristrasan, desnicar, pro hrvatski nastrojen. Poput Tudjmana. Diprineo mrznji koja je prisutna i danas zbog favorizovanja jedne strane.",Appropriate
"Ma, to, sipaj da bude jednako, a da li ima mozga za profesiju? Koga briga, da bude jednak broj!",Gender
Treba. Kao što je u svim zemljama zapadne Evrope.Da bi i ti zaposleni mogli da odmore i da budu i sa svojim porodicama.U Austriji i Nemačkoj sve se zatvara u subotu u 16 časova do ponedeljka nema besne vaške na ulici.,Appropriate
"Aha, retorika moze da izazove ""izolovani incident"". Dakle već znaju da će biti izolovanog incidenta. Kao što u Hrvatskoj budu izolovani incidenti gde se izvinjavaju za srpske čokoladice... pa bace vaterpolistu u more... pa im narod viče da su četnici... pa stave tablu ""za dom spremni""... pa objave sliku srpske dece u novinama i pozovu na linč... pa onda ta deca i budu prebijena... pa žal za Blajburgom.",Race
"Jeftino a dobro ne postoji! možete da se tešite do sutra ovi sto misle da će da daju 2000 eura za auto i da sipaju i voze samo okači mačku o rep, posebno premium brendovi, ja sam moj audi platio 2850eura a uložio sam 3000e u njega i još ima da se ulaže imam kući sve papire račune. pa vi sad kupite auto za 2000e i izdvajajte samo za gorivo",Appropriate
"Šiptari nikako da shvate da to baš ne ide tako kako su planirali, ni oni niti velike sile.",Race
"Nikad pre nisam odgovorio na komentar, evo sad ću. Ne vidim poentu ovoga, čemu ovakvo provociranje? Uživajte gospodine u uspehu naše reprezentacije i najvijajte za nju. Ostavite druge po strani, nepotrebno iskazujete komplekse i komentarom i imenom. Lep pozdrav.",Appropriate
"Glavni krivac za ispadanje Bajerna iz LS je Kovač, čovek igrao na penale na Alijancu, nije klasa trenera za Bajern.",Appropriate
Tizer fotografija cigle sa nekim svetlima?,Appropriate
"O hiljadu mrtvih afrikanaca jedan članak, a o nekoliko mrtvih evropljana, amerikanaca, novozelandjana piše se danima, a upravo ti evropljani nas uče da svaki ljudski zivot ima jednaku vrednost, zar to nije malo (ne znam koju reč da upotrebim)?! I svaki put je tako, apsolutno svaki.",Appropriate
"ili kako se vec nazivas: tako kao ti razmišlja jedna potpuno asocijalna osoba koja je apsolutno ubijena u pojam sistemom, koji je da napomenem, truo i ne funkcioniše. Država ne može nekog običnog građanina da pronađe? Uzmite ciglu i razbite prozor na prozoru vladajuće stranke ili poreske uprave - naći će vas za 10 minuta.",Appropriate
"boga mi što više da osvoji nema opuštanja, posle Rolan Garos brani skoro 8000 poena, znači baš mu treba neka prednost od barem 3000 poena!",Appropriate
Previše vas ima da bi pojedinačno odgovorila. Koliko ste vi iskompleksirani dovoljno govore vaši komentari. Ni u jednom trenutku nisam reka da smo velesila u nogometu nego da smo u vrhu reprezentativnog nogometa i da smo čudo s obzirom na broj stanovnika. Dok pak vi sebe smatrate velesilom u odbojci i kosarci. Pa čak i tenisu di imate jedan Davis cup a mi dva.,Appropriate
"Ovo preko Erdogana guraju i Britanci, u nameri da isprovociraju Ruse i udalje ih od Turaka.",Appropriate
"A šta će jadan kada ove zemlje pozovu i Severnu Makedoniju da se pridruži. Kako če da se susreće sa ""prijateljem tajkuna Đilasa, šiptarskim premijerom Zoranom Zaevim"" kako ga naziva dnevnik njegove stranačke televizije ružičaste boje.",Appropriate
"Izjaviti ovako nešto, u ovoj eri, a ne pomenuti Đokovića, moze samo neko ispodprosečno inteligentan.",Appropriate
"Biće interesantno videti u naredne 3-4 godine ko će od Joveljića, Stuparevića i Vlahovića, uspeti da postane napadač svetskog renomea, i time nam da još jednu sjajnu opciju u napadu uz Jovića i Mitrovića, u reprezentaciji!",Appropriate
Prodo bi mamu i bubreg za gledanost video klipa na youtube.,Appropriate
"Ja bih uveo ""ekonomske"" zatvore, gde bi bili smešteni svi oni koji moraju da ""odleže"" zbog krađa i nanesene štete drugim licima. Radite u zatvorskim uslovima, tj gde zatvor ugovori poslove, i lepo vi ciguljajte ako treba i 30 god da bi vratili ono što ste ukrali....",Appropriate
"bez mene gospodine, bez mene, samo vi uzivajte!",Appropriate
"Ne potpisuj tuđe ime u alijasu, zaista nije na mestu...",Appropriate
Detalj koji je uništio utakmicu je crveni karton koji nije morao da pokaže. Mislim da bi švabe izborile barem nerešeni i da bi utakmica bila mnogo bolja. U revanšu će biti zabavno,Appropriate
"sa cenom goriva od 170 dinara po litri( niko ne sme ni da se buni?) jedino nam ostaje da vozimo dizel i to maks 2000 kubika, daj ljudi uozbiljite se, benzinac od 450 konja, to tuče 20 litara gradske vožnje minimum, gde se sipa gorivo na litar to je neisplativo voziti koliko god para imali!",Appropriate
Jel ovo onaj Turčin što ne sme nazad u Tursku,Appropriate
Perice mnogo mi je žao što ti je dosadan plejof. A jesi li video ciglu Kavaja prošlu utakmicu? Ili kako Durantula najbolji igrač sveta i Kari najbolji šuter sveta izgubiše od veselih Klipersa?,Appropriate
Ko je reko da je dosadan? Ja kazem nikad bolji!!! Nego jesi ti gledao kako je lebron.. Oh wait hahah,Appropriate
"Takva jedna kompanija je i NCR u Srbiji, gomila priucenih ITjevaca koji su napredovali iz call centra jer su pokazali malo interesovanja, i ono što je gazdi bitno, raspoloženi su da rade za manje para od indijaca ili rumuna.",Race
"Vožnja na rezervi je loša iz više razloga. Prvo, pumpa za gorivo može da crkne, drugo, kad je rezervoar skoro prazan, pumpa ce povući i nataloženu prljavštinu sa dna. Time se samo rizikuje skup kvar.",Appropriate
"Da, baš pravi rezultate sa Turskim timovima. 9 stranaca su nosioci igre a od Turaka samo Balbaj i Tuncer povremeno ulaze.",Appropriate
"Ne smiju na vlasti da budu ljudi koji su ubijali, kao Dzaferovic i Komsic. Da se razumijemo. Sve ostalo je dogovor. Ne moze mudzahedinski borac da sedi u predsetnistvu BiH. NATO to zna, oni podrzavaju ove teroriste. Ko u Siriji Dokle bre? Nema pregovora.",Appropriate
"Oni imaji jaču ekonomiju od cele EU, baš će da se potresu što ovaj nešto priča.",Appropriate
"Ovo nije dobro što CZ radi, pa OFK Beograd treba da se prizna titule iz 1920 i 1921, a one absolut trebaju biti priznate iz 1941, 1943 i 1944 jer su osvojene na pošten način pod četničkom vlašću koja je sarađivala sa hitlerom, od pada srbije pod tursku nismo nikad imali bolju otadžbinu. OFK ima 15 titula a ne 10.",Appropriate
"Da, to je najbitnijije carinsko pitanje u nas, leta gospodnjeg 2019. Da li dva Turčina nose kući kroz Srbiju nekih 40,000 EUR... Da je 40 miliona, ne bi bilo bitno ali bi bilo bar zanimljivo",Appropriate
nema portland nikakve šanse brane dobro reket što je funkcionisalo kod denvera ali protiv gw ne pije vodu jer ima ko da sipa trojke. možda portland izvuče jednu pobedu na loš dan gw.,Appropriate
"Vise verujem nemačkom istoričaru nego ovim našima ili hrvatskim. Eto, objašnjeno vam je sve, zajedno su bežali i četnici i ustaše. Kada malo bolje razmislim ustaše i četnici su imali sreće sto se nad njima nije svetila crvena armija...",Appropriate
"Ni Nedić ni Ljotić nisu bili četnici, niti su pripadali četnickom pokretu, niti su se izjašnjavali kao četnici! Za Ljotića se zna da je bio u sukobu sa četncima. Prestanite da silujete istoriju kako vama odgovara!",Appropriate
I šta je tu posebno skupo? Ne bi manje potrošio ni na Adi Ciganliji...,Appropriate
"Imamo i mi svoju sramotu, četnike...",Race
"93% jedino finale 1984 sam pogrešio,napisao sam Vilander,mislio sam da Mekinro nije nikada igrao finale Garosa",Appropriate
"""Šteta što ovu našu snajku oženi švaba, mogla je da se usreći nekog našeg mladića. Ali kako to narod kaže... ide para na paru..""",Class
Pa kako bi oni drugačije nego u ustaškom duhu.,Race
znaš li uopšte zašto je Ciganlija?,Appropriate
"Aston Vila je jedan od pet-šest najstarijih klubova na svetu. Kada se tamo igrao fudbal, ovde su se još oslobađali Turaka.",Appropriate
Velik stručnjak za šljaku drži čas!!!Izvinte na smetnji!!!,Appropriate
Evo po stoti put vas pitam isto pitanje. Zašto imate poseban odeljak Rolan Garos ako objavite 150 vesti o turniru na odeljku Sport? Hvala.,Appropriate
"Kakve sramne odluke i kazne. U hali su ""navijači"" koji gađaju igrače i ljude na parketu, skandiraju uvredljive parole, psuju, puše cigarete ali savez će reagovati adekvatno tek kad neko nastrada izgleda.",Appropriate
"Mrzim Švabe ""kao Nemce""ali mi je Angele bilo žao iskreno.",Race
"Srbi, kompleksašu imaju 2 finala u tom uzrastu,a i 2 titule u drugim uzrastima.Srbi protiv Švaba nisu ""prošli"" ni blizu kako su Hrvati protiv Rumuna. Nemačka redovno melje u U21 uzrastu a Rumunija koja je vas nakantala kao Andoru nije bila u ovom uzrastu na EP 100 godina. Plači od kompleksa",Appropriate
"8 afrikanaca u prvih 11 Francuske, pardon, Sveafrike. Zato poštujem Italiju.",Appropriate
"Moderan religiozan čovek bi trebao da se ponaša tako da svojim religijskim stavovima ne ugrožava drugog. Ako sam ja religiozan neću terati drugog da bude, neka to sam pronađe. Neću se ljutiti ako neko ne posti, ako neko ne ide u crkvu/džamiju, kada i da li će se moliti. Ako je neko gej, preljubnik, ili ovo ili ono, neću mu suditi. Ne bi trebao ni drugi mene da vređa ako sam religiozan i ismejava me. To bi trebalo da predstavlja jedno moderno društvo.",Appropriate
"alkohol I marihuana babe I žabe, cigare I e-cigare babe I zabe. razumeš sad?",Appropriate
"Da,u tvom svetu u kojem bacaš veš mašinu u Moravu.U normalnom svetu kao što je SF,ljudi gledaju kako da poboljšaju svoj život…",Appropriate
"O licemerni svete... Alkohol legalan, marihuana nije. Cigare I cigarete legalne, a elektronske bi da zabrane.",Appropriate
"Mislim da je ovde najbolje preneti lično iskustvo pa evo mog. Pušio 30 godina, prešao isključivo na e cigaretu, smanjivao postepeno dozu nikotina sa 9mg i nakon god dana izbacio potpuno nikotin.",Appropriate
"Šiptari, i Crnogorci iz Srbije. To je struktura gostiju u Baru, i od Bara, do Ade Bojane i Ulcinja.",Appropriate
"NIDAM-VRANJES-VOLER-PULEN SIPAT CE SVAKOM PREKO 100 POENA.PRVI FAVORIT ZA TITULU U ABA LIGI.A JOŠ ĆE SE POJAČAVATI NA CENTRU.ŠEHOVIC,BJELICA,LUKOVIĆ.",Appropriate
Alijenacija čoveka se podigla na tehnološki viši nivo. Čitajte Kamija. Čitajte Borhesa. Čitajte. I BUDITE ZAJEDNO sa drugim ljudima.,Appropriate
"Kakvo iznenađenje,ustaše pevaju ustaške pesme...pa neće valjda da pevaju hitove Cuneta Gojkovica ??!",Race
"Za ozbiljna takmičenja priznajem samo ona koja se održavaju na 4 godine. Vrednost osvajanja ovoga je kao Zimski turnir Čukarice na Adi Ciganliji, gde pehar osvajaju Lokomotiva, Sremčica, Umka ili gosti kao što su IMT, Prva iskra Barič...",Appropriate
"Znači ti bi zabranio Srbima iz Krajine da napuste svoja ognjišta pred ustaškim nožem i da imigriraju u Srbiju? Ko ti je mentor i uzor? Ne bi me čudilo da je Putin. Kakvi balvani sve postoje, haos.",Appropriate
"Takav je to narod. Svi južnoevropski narodi imaju isti mentalitet i na ovaj način vide život. Mi spadamo u tu grupu. Svodi se na to da u životu treba težiti da sto manje radiš a da sto više stekneš, da pronalaziš prečice gde god je to moguće, da ako je potrebno i prelaziš u sivu zonu etike, da mazneš tamo gde sam proceniš da nikom ne ciniš vidljivo zlo i sl.",Appropriate
Mada verujem da će biti na kraju nekog prećutnog dogovora i doplate na tih 120mil. Ipak su to ciganska posla na obe strane,Appropriate
Au ovi ga sad obraše bostan od turaka.,Appropriate
"Sta su japanci radili korejcima početkom dvadesetog veka i kinezima posle 1937, to je strahota kojoj su samo ustaše prišle blizu. Na nesreću kineza i korejaca, cifre su strahovito veće nego one koje mere srpske žrtve u ndh.",Appropriate
"Ovo nije jedini pokušaj atentata na Hitlera. Posto živim u Nemačkoj mogu da kazem da nikad nisam čuo da neko pokušava da opravda ili umanji zločine nacista. Kod nas su četnici i ustaše zvanično rehabilitovani, neki i kanonizovani, mislim na SFRJ prostor...",Appropriate
"Hrvati su usli u EU samo zbog jadranskom mora da može švabo bez problema na more. Zato će hrvati da dobiju i Euro, jer neće švabo da razmišlja o kunama.",Appropriate
"A Dan ustanka na teritoriji današnje Hrvatske? Kad su zajedno Srbi, Hrvati i ostali narodi, počeli otvoreno ratovati protiv okupatora-Njemaca i ustaša.",Appropriate
"Lobiranje duvanske industrije, očigledno da im ovaj vid konzumacije cigareta odvlači profit, i to je sva suština ovog izveštaja SZO.",Appropriate
Vole Švabe Avionom na Moskvu,Race
Ovaj mladić Ozer Alijasima je najveća nada svetskog tenisa (i to realno). Već u toku ove godine biće među 10 najboljih iako ima tek 19 godina. To je pravi talenat.,Appropriate
bolje naše sa Ade Ciganlije,Appropriate
Dobro nisi napisao 600.000.000! Ustaškoj mitomaniji nema leka.,Race
"Englezi da nisu smešni bili bi žalosni,nikada od njih neće biti ništa,što god podižu cenu svojih igrača to im je kvalitet lošiji",Appropriate
Ja sam za to da se promeni zastava i himna sa novim obeležjima da bi se uključili i ostali narodi i religije koji se ne identifikuju kao Srbin Pravoslavac.,Appropriate
"Aj da se kvlaifikujete, pa da vas opet pune sa 5 i 6 komada po tekmi.",Appropriate
Vec tri meseca imamo preko 100 Indijaca koji rade na deonici Surcin-Obrenovac ...,Appropriate
8 godina se radioaktivna voda sipa u pacifik! Ovo je najveca katastrofa a niko o tome ne priča.,Appropriate
Cigareta ne može da upali benzin.,Appropriate
Poštedite nas sumornih vesti o zatucanim ustašama iz ružne njihove. Ako ikako može...,Race
"Posle ljudi sumnjaju u kvalitet BMW agregata. Nova Supra leti i ako su svi bili ma gde to može da bude dobro za tako legendarni automobil, sad ispade Supra je odlična iako ima 70% BMW delova a prave je neke Švabe u Austriji a ne vešte ruke Japanskih samuraja.",Appropriate
